0	392.6180622448
0.01	423.8554286485
0.02	457.4660566737
0.03	493.6107948342
0.04	532.4582128442
0.05	574.1844348128
0.06	618.9728591696
0.07	667.0137477153
0.08	718.5036650953
0.09	773.6447491645
0.1	832.6437922427
0.11	895.7111132763
0.12	963.0592015652
0.13	1034.901114131
0.14	1111.4486111474
0.15	1192.9100172992
0.16	1279.4878016245
0.17	1371.375874462
0.18	1468.756607674
0.19	1571.7975933857
0.2	1680.6481670459
0.21	1795.4357325539
0.22	1916.2619402661
0.23	2043.1987825386
0.24	2176.2846855453
0.25	2315.5206897933
0.26	2460.866824227
0.27	2612.2387891636
0.28	2769.5050705612
0.29	2932.4846112854
0.3	3100.945163205
0.31	3274.6024363395
0.32	3453.1201473974
0.33	3636.1110497246
0.34	3823.1390001823
0.35	4013.7220865356
0.36	4207.3368027647
0.37	4403.4232209773
0.38	4601.3910693289
0.39	4800.6265877843
0.4	5000.5
0.41	5200.3734122157
0.42	5399.6089306711
0.43	5597.5767790227
0.44	5793.6631972354
0.45	5987.2779134644
0.46	6177.8609998177
0.47	6364.8889502754
0.48	6547.8798526026
0.49	6726.3975636605
0.5	6900.054836795
0.51	7068.5153887146
0.52	7231.4949294388
0.53	7388.7612108364
0.54	7540.133175773
0.55	7685.4793102067
0.56	7824.7153144547
0.57	7957.8012174614
0.58	8084.7380597339
0.59	8205.5642674461
0.6	8320.3518329541
0.61	8429.2024066144
0.62	8532.243392326
0.63	8629.624125538
0.64	8721.5121983755
0.65	8808.0899827009
0.66	8889.5513888526
0.67	8966.098885869
0.68	9037.9407984348
0.69	9105.2888867237
0.7	9168.3562077573
0.71	9227.3552508355
0.72	9282.4963349048
0.73	9333.9862522847
0.74	9382.0271408304
0.75	9426.8155651872
0.76	9468.5417871558
0.77	9507.3892051658
0.78	9543.5339433264
0.79	9577.1445713515
0.8	9608.3819377552
0.81	9637.3990999699
0.82	9664.3413364085
0.83	9689.3462268875
0.84	9712.5437892305
0.85	9734.0566612249
0.86	9754.000318401
0.87	9772.4833193154
0.88	9789.6075711423
0.89	9805.4686094026
0.9	9820.1558865891
0.91	9833.7530652773
0.92	9846.3383120528
0.93	9857.9845892345
0.94	9868.7599419473
0.95	9878.7277785922
0.96	9887.9471431879
0.97	9896.4729784266
0.98	9904.3563785978
0.99	9911.6448317944
1	9918.3824510396
