0.000000000000E+00	2.215450000000E-08
4.887322504482E-03	3.919110586206E-08
1.853473193614E-02	5.533177646657E-08
3.229186199424E-02	6.594643354426E-08
4.616169954149E-02	7.451315383173E-08
6.014642308207E-02	8.192026455017E-08
7.424712984912E-02	8.855745587609E-08
8.846484158813E-02	9.463696077805E-08
1.028005800446E-01	1.002894537997E-07
1.172548490309E-01	1.056019332963E-07
1.318257041682E-01	1.106350120014E-07
1.465104784174E-01	1.154330787696E-07
1.613065046335E-01	1.200298926603E-07
1.762110433695E-01	1.244517922832E-07
1.912196922253E-01	1.287193270765E-07
2.063263858475E-01	1.328487246292E-07
2.215249865807E-01	1.368533164613E-07
2.368093567110E-01	1.407442097575E-07
2.521729594028E-01	1.445306637250E-07
2.676079056968E-01	1.482202310890E-07
2.831060205817E-01	1.518193105215E-07
2.986591290462E-01	1.553334155693E-07
3.142590275709E-01	1.587673206365E-07
3.298971042897E-01	1.621251014861E-07
3.455644420567E-01	1.654102626745E-07
3.612521163792E-01	1.686258812866E-07
3.769512023806E-01	1.717746699098E-07
3.926526450283E-01	1.748590019212E-07
4.083470702347E-01	1.778809197938E-07
4.240250559195E-01	1.808422261613E-07
4.396771800023E-01	1.837445219395E-07
4.552939585902E-01	1.865892191607E-07
4.708653168708E-01	1.893774683426E-07
4.863808517804E-01	1.921102301355E-07
5.018301567387E-01	1.947883496304E-07
5.172028220907E-01	1.974125681018E-07
5.324881512283E-01	1.999834856873E-07
5.476749309680E-01	2.025015356355E-07
5.627518940907E-01	2.049670724299E-07
5.777077733772E-01	2.073803868145E-07
5.925313207988E-01	2.097417138323E-07
6.072114159055E-01	2.120512539585E-07
6.217369902919E-01	2.143091640937E-07
6.360969757062E-01	2.165155526427E-07
6.502803191156E-01	2.186704848614E-07
6.642765998991E-01	2.207740776936E-07
6.780762433575E-01	2.228265288884E-07
6.916697338490E-01	2.248279980227E-07
7.050475557314E-01	2.267786002437E-07
7.182005124044E-01	2.286784545774E-07
7.311209153282E-01	2.305278534757E-07
7.438015211147E-01	2.323271055104E-07
7.562350864406E-01	2.340764730378E-07
7.684144077854E-01	2.357761802836E-07
7.803331970895E-01	2.374265361951E-07
7.919860817540E-01	2.390279318265E-07
8.033677289828E-01	2.405807190752E-07
8.144728060101E-01	2.420852075188E-07
8.252961879966E-01	2.435416944614E-07
8.358334545045E-01	2.449505321592E-07
8.460803341178E-01	2.463120532170E-07
8.560325554201E-01	2.476265522762E-07
8.656858624107E-01	2.488942897874E-07
8.750362198931E-01	2.501155202853E-07
8.840797577444E-01	2.512904858484E-07
8.928126098144E-01	2.524193961421E-07
9.012309100823E-01	2.535024291675E-07
9.093308364814E-01	2.545397379818E-07
9.171086746910E-01	2.555314596948E-07
9.245607265972E-01	2.564777044888E-07
9.316832940863E-01	2.573785543537E-07
9.384726930921E-01	2.582340655768E-07
9.449253738392E-01	2.590442844117E-07
9.510378611496E-01	2.598092398883E-07
9.568066806449E-01	2.605289349686E-07
9.622283592502E-01	2.612033470311E-07
9.672995455855E-01	2.618324431284E-07
9.720171073462E-01	2.624161921043E-07
9.763779351439E-01	2.629545403234E-07
9.803789195902E-01	2.634474090217E-07
9.840169960733E-01	2.638946999388E-07
9.872893976564E-01	2.642963263437E-07
9.901934788366E-01	2.646521911852E-07
9.927265944696E-01	2.649621721877E-07
9.948861043129E-01	2.652261223600E-07
9.966695718284E-01	2.654438941396E-07
9.980748329553E-01	2.656153475039E-07
9.990997426554E-01	2.657403187737E-07
9.997421558907E-01	2.658186180671E-07
1.000000000000E+00	2.658500378220E-07
